Epoch,Train Accuracy,Validation Accuracy,Test Accuracy
1,0.5915,0.6485,0.6498
2,0.6636,0.6995,0.7017
3,0.6975,0.7112,0.7139
4,0.717,0.739,0.7399
5,0.7341,0.7559,0.7587
6,0.7466,0.7635,0.764
7,0.7562,0.7771,0.7784
8,0.7634,0.7889,0.789
9,0.7705,0.794,0.7959
10,0.7775,0.7995,0.8022
11,0.7827,0.7971,0.7985
12,0.7872,0.8046,0.8033
13,0.7916,0.8118,0.8126
14,0.7956,0.8171,0.8194
15,0.7996,0.8205,0.8211
16,0.8023,0.824,0.8263
17,0.8059,0.825,0.8285
18,0.8079,0.8328,0.8332
19,0.8119,0.8317,0.835
20,0.8135,0.8364,0.8383
21,0.8159,0.835,0.8389
22,0.8172,0.8427,0.8446
23,0.8198,0.8418,0.8445
24,0.821,0.8426,0.8456
25,0.8231,0.8423,0.8458
26,0.8242,0.8486,0.8496
27,0.826,0.8427,0.8442
28,0.8266,0.8495,0.8509
29,0.8292,0.8499,0.8538
30,0.8312,0.8535,0.8563
31,0.8315,0.8554,0.8559
32,0.8328,0.8536,0.8574
33,0.8338,0.8527,0.8548
34,0.8349,0.8579,0.8599
35,0.8358,0.8605,0.8629
36,0.8381,0.8558,0.8592
37,0.839,0.8565,0.8585
38,0.8394,0.8567,0.8581
39,0.842,0.8573,0.8593
40,0.8416,0.8608,0.8629
41,0.8422,0.8586,0.8607
42,0.8435,0.8612,0.8626
43,0.8433,0.8638,0.8649
44,0.8439,0.8644,0.8654
45,0.8441,0.8592,0.8622
46,0.8458,0.8662,0.8673
47,0.8463,0.8627,0.8647
48,0.8464,0.8655,0.8676
49,0.848,0.8713,0.8718
50,0.8497,0.8668,0.8685
51,0.8497,0.8651,0.8671
52,0.8496,0.8652,0.8668
53,0.8511,0.8686,0.8695
54,0.8509,0.8681,0.8693
55,0.8504,0.8711,0.872
56,0.8514,0.8702,0.8719
57,0.8517,0.8693,0.8698
58,0.8524,0.8703,0.8715
59,0.8525,0.8706,0.8712
60,0.8532,0.8693,0.8706
61,0.8528,0.8694,0.8712
62,0.8534,0.869,0.8714
63,0.8545,0.867,0.8684
64,0.8538,0.8717,0.8727
65,0.855,0.8731,0.873
66,0.8544,0.8742,0.8747
67,0.8552,0.8716,0.872
68,0.8554,0.8709,0.8715
69,0.8555,0.8703,0.8707
70,0.8559,0.8715,0.8725
71,0.8566,0.8741,0.875
72,0.8565,0.8701,0.8709
73,0.8571,0.8751,0.8758
74,0.8562,0.8725,0.8728
75,0.8572,0.8736,0.8742
76,0.8581,0.8749,0.8751
77,0.8569,0.8739,0.8734
78,0.8578,0.874,0.8738
79,0.8581,0.8763,0.8767
80,0.8583,0.8731,0.8735
81,0.8577,0.8749,0.8748
82,0.858,0.8725,0.8735
83,0.8582,0.8742,0.8748
84,0.859,0.8752,0.876
85,0.859,0.8716,0.8731
86,0.859,0.8754,0.8764
87,0.8591,0.8743,0.8749
88,0.8582,0.875,0.8751
89,0.8576,0.8749,0.8757
90,0.8598,0.8744,0.8752
91,0.8586,0.8757,0.8755
92,0.86,0.8754,0.8756
93,0.8602,0.8755,0.8762
94,0.8603,0.8753,0.876
95,0.8606,0.8767,0.8773
96,0.8608,0.8748,0.8754
97,0.8605,0.875,0.8758
98,0.8601,0.8739,0.8744
99,0.8597,0.8754,0.8763
100,0.8599,0.8741,0.8751
